End Date,Buy Ccy,Sell Ccy,Counterparty Mnemonic,Currency,Buy Amount,Sell Amount,Principal Amount (Signed),Contract Rate,TOTAL_INTEREST_VALUE,PL Now Accrued PL (int),Entity,Deal Date,Start Date,Subtype,Deal No,PENDING_DAYS_TO_MATURITY,TOTAL_MATURITY_AMOUNT,Type ,Deal Status,Trading Book,Deal Type,Department,Spread Rate,Internal Rate,Dealer,LCY_AMOUNT_1,ORIGINAL_TENOR,Outstanding Notional,Omgeo Ref,Settlement Method,PayRec,Cpty Pay Agent Inst,Pay Nostro,Rec Nostro,Security Code,Buy/Sell,Quantity Traded,ISIN 1,Block Ref,Sec. Inv. Price,Sec. Accrued,Repo Amount,Block Amt,CCY1,CCY2
07-22-2022,USD,GBP,TAJBANK LIMITED,,"1,994.03","1,650.00",,1.208500000000,,,UBANY,07-20-2022,07-22-2022,INTBK,104695,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,0.0087,1.199850000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,GBP,USD,SCB-LONDON,,"1,650.00","1,976.67",,1.197980000000,,,UBANY,07-20-2022,07-22-2022,INTBK,104696,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,0.0019,1.199850000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,XAF,USD,UBA CAMEROON,,"840,385,650","1,296,591.30",,648.150000000000,,,UBANY,07-21-2022,07-22-2022,INTBK,104698,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,2.3200,645.830000000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,USD,XAF,GEORGETOWN GH,,"1,313,000.00","840,385,650",,640.050000000000,,,UBANY,07-21-2022,07-22-2022,INTBK,104699,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,5.7800,645.830000000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,EUR,USD,SCB-LONDON,,"5,000.00","5,106.30",,1.021260000000,,,UBANY,07-20-2022,07-22-2022,INTBK,104692,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,0.0024,1.023650000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,USD,EUR,TAJBANK LIMITED,,"5,159.50","5,000.00",,1.031900000000,,,UBANY,07-20-2022,07-22-2022,INTBK,104691,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,0.0083,1.023650000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,USD,GBP,TAJBANK LIMITED,,"7,395.41","6,120.00",,1.208400000000,,,UBANY,07-20-2022,07-22-2022,INTBK,104693,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,0.0086,1.199850000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,GBP,USD,SCB-LONDON,,"6,120.00","7,342.90",,1.199820000000,,,UBANY,07-20-2022,07-22-2022,INTBK,104694,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,0.0000,1.199850000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-22-2022,,,MOZA,USD,,,"-14,600,000.00",0.07,-28.39,-28.39,UBAGCI,07-21-2022,07-21-2022,IBIOC,104697,0,"-14,600,028.39",FIX/DEPO,STARTED,/BANK/GCI/MMGCI,COM_LOAN,MM_INTBK_ON,0.0000,0.07,MOHNIR349,"-14,600,000.00",,0,,,,,,,,,,,,,,,,,
07-25-2022,USD,GBP,TAJBANK LIMITED,,"1,781.48","1,480.00",,1.203700000000,,,UBANY,07-21-2022,07-25-2022,INTBK,104700,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,0.0081,1.195600000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
07-25-2022,GBP,USD,SCB-LONDON,,"1,480.00","1,771.03",,1.196640000000,,,UBANY,07-21-2022,07-25-2022,INTBK,104701,,,,CONTINGENT,/BANK/UBANY/FXSALES/SPREAD,FX_PLUS_SPOT_DEAL,FX,-0.0010,1.195600000000,MOHNIR349,,,,,,,,,,,,,,,,,,,,
